n,package,join_type,name,value
250,fuzzyjoin,Euclidean Distance,time,0.343619549
250,fuzzyjoin,Euclidean Distance,memory,85.099376
500,fuzzyjoin,Euclidean Distance,time,0.4718311555
500,fuzzyjoin,Euclidean Distance,memory,319.335144
750,fuzzyjoin,Euclidean Distance,time,0.8484578585
750,fuzzyjoin,Euclidean Distance,memory,707.55656
1000,fuzzyjoin,Euclidean Distance,time,1.072986325
1000,fuzzyjoin,Euclidean Distance,memory,1249.808712
1250,fuzzyjoin,Euclidean Distance,time,1.364677694
1250,fuzzyjoin,Euclidean Distance,memory,1946.04448
1500,fuzzyjoin,Euclidean Distance,time,1.707020877
1500,fuzzyjoin,Euclidean Distance,memory,2796.24748
1750,fuzzyjoin,Euclidean Distance,time,2.11189372
1750,fuzzyjoin,Euclidean Distance,memory,3800.548784
2000,fuzzyjoin,Euclidean Distance,time,2.586468973
2000,fuzzyjoin,Euclidean Distance,memory,4958.751784
2250,fuzzyjoin,Euclidean Distance,time,3.15514901
2250,fuzzyjoin,Euclidean Distance,memory,6271.02032
2500,fuzzyjoin,Euclidean Distance,time,3.751560447
2500,fuzzyjoin,Euclidean Distance,memory,7737.22332
2750,fuzzyjoin,Euclidean Distance,time,4.388088053
2750,fuzzyjoin,Euclidean Distance,memory,9357.42632
3000,fuzzyjoin,Euclidean Distance,time,5.120575432
3000,fuzzyjoin,Euclidean Distance,memory,11131.62932
3250,fuzzyjoin,Euclidean Distance,time,5.8938979825
3250,fuzzyjoin,Euclidean Distance,memory,13060.028928
3500,fuzzyjoin,Euclidean Distance,time,6.7186811765
3500,fuzzyjoin,Euclidean Distance,memory,15142.231928
3750,fuzzyjoin,Euclidean Distance,time,7.6419649415
3750,fuzzyjoin,Euclidean Distance,memory,17378.434928
4000,fuzzyjoin,Euclidean Distance,time,8.6269729845
4000,fuzzyjoin,Euclidean Distance,memory,19768.637928
250,zoomerjoin,Euclidean Distance,time,0.0063465855
250,zoomerjoin,Euclidean Distance,memory,0.929968
500,zoomerjoin,Euclidean Distance,time,0.0063625835
500,zoomerjoin,Euclidean Distance,memory,1.686256
750,zoomerjoin,Euclidean Distance,time,0.0075277675
750,zoomerjoin,Euclidean Distance,memory,2.454832
1000,zoomerjoin,Euclidean Distance,time,0.008591361
1000,zoomerjoin,Euclidean Distance,memory,3.198832
1250,zoomerjoin,Euclidean Distance,time,0.010008559
1250,zoomerjoin,Euclidean Distance,memory,3.991984
1500,zoomerjoin,Euclidean Distance,time,0.0107815405
1500,zoomerjoin,Euclidean Distance,memory,4.735984
1750,zoomerjoin,Euclidean Distance,time,0.01194339
1750,zoomerjoin,Euclidean Distance,memory,5.479984
2000,zoomerjoin,Euclidean Distance,time,0.0134063025
2000,zoomerjoin,Euclidean Distance,memory,6.223984
2250,zoomerjoin,Euclidean Distance,time,0.0139897455
2250,zoomerjoin,Euclidean Distance,memory,7.066288
2500,zoomerjoin,Euclidean Distance,time,0.014962037
2500,zoomerjoin,Euclidean Distance,memory,7.810288
2750,zoomerjoin,Euclidean Distance,time,0.0160380735
2750,zoomerjoin,Euclidean Distance,memory,8.554288
3000,zoomerjoin,Euclidean Distance,time,0.017294248
3000,zoomerjoin,Euclidean Distance,memory,9.298288
3250,zoomerjoin,Euclidean Distance,time,0.0189574265
3250,zoomerjoin,Euclidean Distance,memory,10.042288
3500,zoomerjoin,Euclidean Distance,time,0.019312529
3500,zoomerjoin,Euclidean Distance,memory,10.786288
3750,zoomerjoin,Euclidean Distance,time,0.0206497825
3750,zoomerjoin,Euclidean Distance,memory,11.530288
4000,zoomerjoin,Euclidean Distance,time,0.0214851195
4000,zoomerjoin,Euclidean Distance,memory,12.274288
